"article_title","author","journal","citations","year"
"Iraq: the economic consequences of war","WD Nordhaus","New York Review of Books 49 (19), 9-13, 2002","23","2002"
"Marching to different drummers: coordination and independence in monetary and fiscal policies","WD Nordhaus","Cowles Foundation for Research in Economics, 1994","23","1994"
"The US petroleum crisis of 1979","PK Verleger, A Okun, R Lawrence, C Sims, R Hall, W Nordhaus","Brookings Papers on Economic Activity 1979 (2), 463-476, 1979","23","1979"
"Economic policy in the face of global warming.","WD Nordhaus","MIT PRESS, CAMBRIDGE, MA(USA)., 103-118, 1991","22","1991"
"Do Borders Matter? Soviet Economic Reform after the Coup","WD Nordhaus, MJ Peck, TJ Richardson","Brookings Papers on Economic Activity 1991 (2), 321-340, 1991","22","1991"
"Balanced Growth-A Razor's Edge?","G Akerlof, WD Nordhaus","International Economic Review 8 (3), 343-348, 1967","22","1967"
"Comments and discussion","CA Sims, J Williamson","Brookings Papers on Economic Activity 2003 (1), 63-70, 2003","21","2003"
"The mildest recession: Output, profits, and stock prices as the US emerges from the 2001 recession","WD Nordhaus","National Bureau of Economic Research, 2002","21","2002"
"Policy responses to the productivity slowdown","WD Nordhaus","Yale University, New Haven, CT, 1980","21","1980"
"Ekonomie: 19. vydání","PA Samuelson, WD Nordhaus","NS Svoboda, 2013","20","2013"
"Comments and Discussion","NG Mankiw, WD Nordhaus","Brookings Papers on Economic Activity 2005 (1), 316-325, 2005","20","2005"
"Ekonomia, Wyd","PA Samuelson, WD Nordhaus","Naukowe PWN, Warszawa, 2003","20","2003"
"The economic impacts of abrupt climate change","W Nordhaus","Yale-National Bureau for economic research workshop on the societal impacts …, 2000","20","2000"
"The tax smoothing implications of the federal debt paydown","GJ Hall, S Krieger, M Gertler","Brookings Papers on Economic Activity 2000 (2), 253-301, 2000","20","2000"
"<U+7ECF><U+6D4E><U+5B66>","PA Samuelson, WD Nordhaus","<U+9996><U+90FD><U+7ECF><U+6D4E><U+8D38><U+6613><U+5927><U+5B66><U+51FA><U+7248><U+793E>, 1996","20","1996"
"Global warming: slowing the greenhouse express","WD Nordhaus","Setting national priorities, 192-209, 1990","20","1990"
"Ekonomija: uvodna analiza","PA Samuelson, RD Dodic, D Baum, M Hubeni","Zajednica jugoslovenskih univerziteta,"" Savremena administracija"", 1969","20","1969"
"Economics, Nueva York","P Samuelson, W Nordhaus","McGraw-Hill, 1948","20","1948"
"Life After Kyoto: Alternative Approaches to Global Warming","W Nordhaus","National Bureau of Economic Research, 2005","19","2005"
"Samuelson's Economics at Fifty: Remarks on the Occasion of the Anniversary of Publication","PA Samuelson, HW McGraw Jr, WD Nordhaus, O Ashenfelter, RM Solow, ...","The Journal of Economic Education 30 (4), 352-363, 1999","19","1999"
"The ghosts of climates past and the specters of climate change future","WD Nordhaus","Energy Policy 23 (4-5), 269-282, 1995","19","1995"
"Ekonomia 1","S Nordhaus, PA Samuelson","PWN, Warszawa, 704-713, 1995","19","1995"
"Pondering greenhouse policy","SH Schneider, H Dowlatabadi, LB Lave, M Oppenheimer, WD Nordhaus","Science 259 (5100), 1381-1384, 1993","19","1993"
"Ekonomie. Praha: Nakladatelství Svoboda. 1991","PA SAMUELSON, WD NORDHAUS","ISBN 80-86175-58-4, 0","19",""
"The Future of Environmental and Augmented National Accounts","WD Nordhaus","Survey of Current Business, 45-49, 1999","18","1999"
"How much should we invest in preserving our current climate?","WD Nordhaus","Economic Progress and Environmental Concerns, 255-299, 1993","18","1993"
"Innowacje, wzrost i dobrobyt: postC© p techniczny w ujC© ciu teoretycznym","WD Nordhaus","PaL „stwowo Wydawnictwo Naukowe, 1976","18","1976"
"Ilmu Makro Ekonomi","S Nordhaus","Jakarta: PT. Media Global Edukasi, 2004","17","2004"
"Alternative methods for measuring productivity growth including approaches when output is measured with chain indexes","WD Nordhaus","June, 2002","17","2002"
"The value of information","WD Nordhaus","Policy Aspects of Climate Forecasting, 129-34, 1986","17","1986"
"The share economy: A symposium","W Nordhaus, A John","Journal of Comparative Economics 10 (4), 414-415, 1986","17","1986"
"Changing Climate: Report of the Carbon Dioxide Assessment Committee","National Research Council, WA Nierenberg","National Academy Press, 1983","17","1983"
"An economic history of computing","WD Nordhaus","Yale, Departamento de Economía, Universidad de Yale [en línea] http://www …, 2006","16","2006"
"Technology, economic growth, and the new economy","WD Nordhaus","unpublished paper, Yale University, June, 2000","16","2000"
"Beyond the CPI: An augmented cost-of-living index","WD Nordhaus","Journal of Business & Economic Statistics 17 (2), 182-187, 1999","16","1999"
"Macroeconomía con aplicaciones a México","PA Samuelson, WD Nordhaus, E Rabasco, L Toharia","","16","1998"
"The pope & the market","W Nordhaus","New York Review of Books 62 (15), 26-27, 2015","15","2015"
"Editors' introduction: the economics of technologies to combat global warming","N Nakicenovic, W Nordhaus","Energy Economics 33 (4), 565-571, 2011","15","2011"
"Economía, editorial Mc Graw Hill","P Samuelson, W Nordhaus","México, 2006","15","2006"
"The DICE model","WD Nordhaus","Cowles Foundation Discussion Paper, 1992","15","1992"
"Economía, Mac Graw-Hill","P Samuelson, WD NORDHAUS","São Paulo 12a. edição, 1988","15","1988"
"Economics: Volkswirtschaftslehre","PA Samuelson, WD Nordhaus","Ueberreuter, 1998","14","1998"
"Makroekonomika [Macroeconomics]","PA Samuelson, V Nordhauz","Kyiv: Osnovy [in Ukrainian], 1995","14","1995"
"The Swedish dilemma-nuclear energy v. the environment","WD Nordhaus","Center for Business and Policy Studies, 1995","14","1995"
"Economía, Madrid","P Samuelson, W Nordhaus","Editorial McGraw-Hill 15, 1987","14","1987"
"Introduction to the share economy","W Nordhaus","Journal of Comparative Economics 10 (4), 416-420, 1986","14","1986"
"Economics, 9th edn of Economics: An Introductory Analysis","PA Samuelson","New York: McGraw-Hill,[1948], 1973","14","1973"
"Climate change: The ultimate challenge for Economics","W Nordhaus","American Economic Review 109 (6), 1991-2014, 2019","13","2019"
"Modeling uncertainty in integrated assessment of climate change: A multimodel comparison","K Gillingham, W Nordhaus, D Anthoff, G Blanford, V Bosetti, ...","Journal of the Association of Environmental and Resource Economists 5 (4 …, 2018","13","2018"
"The End of Energy: The Unmaking of America's Environment, Security, and Independence","WD Nordhaus","New York Review of Books 58 (16), 29-31, 2011","13","2011"
"Ekonomika/per. z anhl","P Samuelson, V Nordhauz","M.: Vyljams, 2010. 1360 s, 2010","13","2010"
"Measuring real income with leisure and household production","W Nordhaus","Measuring the subjective well-being of nations: National accounts of time …, 2009","13","2009"
"Economics. Columbus","PA Samuelson, WD Nordhaus","McGraw-Hill, 1995","13","1995"
"Ekonomi. Jaka Wasana, penerjemah; Julius AM, Gunawan H, Dharma H, editor. Terjemahan dari: Economics. Ed ke-12","PA Samuelson, DN William","Erlangga. Jakarta, 1986","13","1986"
"Capítulo XX. Panorama general de la macroeconomía.","P Samuelson, W Nordhaus, EMGH Interamericana","","12","2010"
"The Effects of the security environment on military expenditures: Pooled analyses of 165 Countries, 1950-2000","WD Nordhaus, JR Oneal, B Russett","Cowles Foundation Discussion Paper, 2009","12","2009"
"The impact of treaty nonparticipation on the costs of slowing global warming","W Nordhaus","The Energy Journal 30, 39-51, 2009","12","2009"
"The question of global warming: An exchange","W Nordhaus, L Sullivan, D Zenghelis","New York Review of Books 25, 2008","12","2008"
"Economia. Portugal","AP SAMUELSON, WD NORDHAUS","McGraw-Hill, 1993","12","1993"
"Comments and discussion","WD Nordhaus","Brookings Papers on Economic Activity, 320-325, 1989","12","1989"
"Empirical Tests of the Rationality of Economic Forecasters: a fixed horizons approach","WD Nordhaus, SN Durlauf","Cowles Foundation Discussion Papers, 1985","12","1985"
"Changing Climate","WD Nordhaus, GW Yohe, National Research Council, ...","report of the Carbon Dioxide Assessment Committee, 87-150, 1983","12","1983"
"D., 1994","W Nordhaus","Managing the Global Commons. The Economics of Climate Change, 0","12",""
"Introduction à l’économie","PA Samuelson, A Colin","","11","2014"
"Improved estimates of using luminosity as a proxy for economic statistics: new results and estimates of precision","WD Nordhaus, X Chen","Cowles Foundation Discussion Paper, 2012","11","2012"
"Retrospective on the Postwar Productivity Slowdown","WD Nordhaus","Cowles Foundation Discussion Paper, 2004","11","2004"
"World modelling from the bottom up","WD Nordhaus","RM-75-010, 1975","11","1975"
"D.(1985) Economics","P Samuelson, W Nordhaus","International Student edition, National Printers (Pte.) Ltd., Singapore, 0","11",""
"Ekonomia, tlum","PA Samuelson, WD Nordhaus","J. Sroda, A. Bukowski. Poznan: Rebis, 2014","10","2014"
"Agriculture: a Ricardian analysis","R Mendelsohn, W Nordhaus, D Shaw","Mendelsohn R (ed), 32-53, 2001","10","2001"
"Policy rules in the new economy","WD Nordhaus","YALE UNIV NEW HAVEN CT, 2000","10","2000"
"Volkswirtschaftlehre (German translation), 15","PA Samuelson, W Nordhaus","Wien: Ueberreuter.[Samuelson/Nordhaus 1988], 1998","10","1998"
"Assessing the Economics of Climate Change","WD Nordhaus, W Nordhaus","An Introduction: InEconomics And Policy Issues In Climate Change, WD …, 1998","10","1998"
"Economía, décimocuarta edición. Ed","P SAMUELSON, W NORDHAUS","MCGRAW-HILL, 1993","10","1993"
"Nordhaus: economics","PA Samuelson, D William","China Development Press, Beijing, 1992","10","1992"
"Environmental Accounting: Methods with an Application to the United States Economy","NZ Muller, RO Mendelsohn, W Nordhaus","American Economic Review 101 (5), 1-30, 2011","9","2011"
"Economic Analyses of Kyoto Protocol: Is There Life After Kyoto?","WD Nordhaus, G Warming","Global Warming: Looking Beyond Kyoto, 91-100, 2008","9","2008"
"Ekonomija (16. izd.)","PA Samuelson, WD Nordhaus","Ljubljana: GV založba, 2002","9","2002"
"Managing the Global Commons: The Economics of Climate Change","WD Nordhaus, M Radetzki","Energy Journal-Cleveland 16 (2), 132-134, 1995","9","1995"
"Economic Growth on a Planet under Siege","WD Nordhaus","Cowles Foundation for Research in Economics, 1993","9","1993"
"An optimal transition path for slowing climate change","WD Nordhaus","Science 20, 1315-1319, 1992","9","1992"
"Ekonomija, cetrnaesto izdanje","PA Samuelson, W Nordhaus","Nacionalna i sveucilišna biblioteka, Zagreb, 1992","9","1992"
"Economia","P Samuelson, WD Nordhaus","Mcgraw-Hill, New York, 1990","9","1990"
"Future carbon dioxide emissions from fossil fuels. Changing Climate. National Research Council","W Nordhaus, G Yohe","National Academy Press, Washington, DC, 1983","9","1983"
"Induced technical change: a programming approach","WD Nordhaus, L Van der Heyden","Energy, Productivity, and Economic Growth. Oelgeschlager, Gunn & Hain …, 1983","9","1983"
"Tax-Based Incomes Policies: A Better Mousetrap?","WD Nordhaus","An Incomes Policy for the United States, 135-151, 1981","9","1981"
"International studies of the demand for energy","WD Nordhaus, R Goldstein","Workshop on Energy Demand (1975: Laxenburg, Austria), 1977","9","1977"
"Volkswirtschaftslehre: Eine Einführung/neu bearb. von Helga Hankel","PA Samuelson, WD Nordhaus, H Hankel","Bund-Verlag, 1969","9","1969"
"D. 1975.“","W Nordhaus","The Political Business Cycle.” The Review of Economic Studies 42 (2), 169-190, 0","9",""
"(1996). Economía (15ta. ed.)","P Samuelson","Madrid: McGraw-Hill, 0","9",""
"Climate clubs to overcome free-riding","W Nordhaus","Issues in Science and Technology 31 (4), 27, 2015","8","2015"
"Macroeconomics 19e","PA Samuelson, WD Nordhaus","McGraw-Hill Higher Education, Maidenhead, 2009","8","2009"
"Electoral victory and statistical defeat? Economics, politics, and the 2004 presidential election","W Nordhaus","Quarterly Journal of Political Science 1 (3), 313-322, 2006","8","2006"
"ECONOMICS, 784 pp","P Samuelson, WD Nordhaus","New York: McGraw-Hill.[The standard global reference text and classic of …, 2005","8","2005"
"Économie, 18e édition","PA Samuelson, WD Nordhaus","Économica, 2005","8","2005"
"Nature's numbers: Expanding the national economic accounts to include the environment","RT Woodward","Land Economics 76 (3), 486-490, 2000","8","2000"
"Overall appraisal of environmental accounting in the United States","WD Nordhaus, EC Kokkelenberg","Survey of Current Business 79 (11), 50-65, 1999","8","1999"
"The ghosts of climates past and the specters of climates future","WD Nordhaus","Integrative Assessment of Mitigation, Impacts, and Adaptation to Climate …, 1993","8","1993"
"Pondering Greenhouse Policy-Response","WD Nordhaus","Science 259 (5100), 1383-1384, 1993","8","1993"
"Growth and natural resources","WD Nordhaus, J Tobin","Economics of the Environment, 400-403, 1977","8","1977"
"D. 2004","PA Samuelson, W Nordhaus","Ilmu Makroekonomi, 0","8",""
"J.(1972).“Is growth absolete?”","WET NORDHAUS","Economic research: retrospect and prospect, 0","8",""
"Integrated assessment models of climate change","W Nordhaus","NBER Reporter, 16-20, 2017","7","2017"
"The Ethics of Efficient Markets and Commons Tragedies: A Review of John Broome's Climate Matters: Ethics in a Warming World","W Nordhaus","Journal of Economic Literature 52 (4), 1135-41, 2014","7","2014"
"Effects of US Tax Policy on Greenhouse Gas Emissions","National Research Council","National Academies Press, 2013","7","2013"
"Projections of sea level rise (SLR)","WD Nordhaus","Yale university, 2010","7","2010"
"Alternative policies and sea-level rise in the RICE-2009 model","WD Nordhaus","Cowles Foundation Discussion Paper, 2009","7","2009"
"CO2 emissions: Getting bang for the buck","B Fisher","Science 318 (5858), 1865-1868, 2007","7","2007"
"Volkswirtschaftslehre. mi-Fachverlag","PA Samuelson, WD Nordhaus","Redline, Landsberg am Lech, Deutschland, 2007","7","2007"
"Ekonomija","S Nordhaus, P Samuelson","U toku izvodenja nastave studentima može biti ponudena i druga aktuelna …, 2005","7","2005"
"Handbook of computable general equilibrium modeling","N Hosoe, K Gasawa, H Hashimoto","University of Tokyo Press, Tokyo, Japan, 2004","7","2004"
"The health of Nations: The Contribution of Improved Health to Living Styards","WD Nordhaus","Exceptional Returns, University of Chicago Press.(También NBER Documento de …, 2002","7","2002"
"Economics. 2009","P Samuelson, WD Nordhaus","McGrow Hill, 32, 2001","7","2001"
"A market based discount rate","WD Nordhaus","Discounting and Intergenerational Effects, Resources for the Future …, 1999","7","1999"
"Beyond the CPI: an augmented cost of living index (ACOLI)","WD Nordhaus","Business Economics, 48-53, 1997","7","1997"
"Climate Change: Integrating Science, Economics, and Policy","N Nakicenovic, WD Nordhaus, R Richels, FL Toth","CP-96-001, 1996","7","1996"
"Coordination and Independence in Monetary and Fiscal Policies","WD Nordhaus","The 1990s Slump, 219-249, 1996","7","1996"
"Kärnkraft och miljö: ett svenskt dilemma","WD Nordhaus","SNS, 1995","7","1995"
"Can the share economy cure our macroeconomic woes? Probably not","W Nordhaus","Journal of Comparative Economics 10 (4), 448-453, 1986","7","1986"
"Regulating the Regulators","CS Diver","University of Pennsylvania Law Review 132 (5), 1243-1256, 1984","7","1984"
"CO2 forecasting and control: a mathematical programming approach","TA Daly, N Goto, RF Kosobud, WD Nordhaus","The Energy Industries in Transition 1985-2000, Part 1, 6th IAEE North …, 1984","7","1984"
"Industrial Pricing in the British Manufacturing Industry","K Coutts, W Godley, W Nordhaus","Cambridge: Cambridge University Press, 1978","7","1978"
"What Is the Value of Advanced Nuclear Power?","WD Nordhaus","","7","1977"
"Modeling technological change: Use of mathematical programming models in the energy sector","W Nordhaus, L Van der Heyden","Cowles Foundation for Research in Economics, Yale University, 1977","7","1977"
"Theory of innovation","WD Nordhaus","The American Economic Review 59 (2), 18-28, 1969","7","1969"
"Policu.","FG Adams, I Adelman, M Augusztinovics, S Chakravarty, AM Costa, ...","","7","1965"
"William. 1999","AP Samuelson, D Nordhaus","Mikro Ekonomi, 0","7",""
"Ekonomie. Praha: NS Svoboda, 2013. 719 p","PA Samuelson, WD Nordhaus","","7",""
"Issues in non-market accounting: Pollution accounting in theory and practice","W Nordhaus","Measuring Capital: Beyond the Measures. Proceedings of the Seminar Session …, 2008","6","2008"
"Accompanying Notes and Documentation on Development of DICE-2007 Model: Notes on DICE-2007. delta. v8 as of September 21, 2007","WD Nordhaus","Miscellaneous publication, Yale University, New Haven, NE, USA, 2007","6","2007"
"A new architecture of US. National Accounts","WD Nordhaus, DW Jorgensen, JS Landefeld","NBER Studies in Income and Wealth 66, 13-112, 2006","6","2006"
"Naukowe PWN","PA Samuelson, WD Nordhaus, W Ekonomia","Warszawa, 2005","6","2005"
"Factors of production","P Samuelson, W Nordhaus","Economics,, 2004","6","2004"
"Samuelson y la enseñanza de la teoría económica","AC Mancera","Análisis Económico 18 (38), 297-324, 2003","6","2003"
"Ekonómia. 16. vydanie","P SAMUELSON, WD NORDHAUS","Bratislava: Elita 820, 2000","6","2000"
"Revised estimates of the impacts of climate change","WD Nordhaus","Working Paper, Yale University, 1998","6","1998"
"What are the external costs of more rapid population growth? Theoretical issues and empirical estimates","WD Nordhaus, J Boyer","150th Anniversary Meeting of the American Association for the Advancement of …, 1998","6","1998"
"Economics, The McGraw-Hillcompanies","PA Samuelson, WD Nordhaus","Inc, 1998","6","1998"
"Economic and policy issues in climate change","WD Nordhaus","Resources for the Future, 1998","6","1998"
"Equity and the aggregation of the damage costs of climate change","RSJ Tol, S Fankhauser, DW Pearce","IN NACICENOVIC, V., NORDHAUS, W., RICHELS, R. & TOTH, FL (Eds.) Climate …, 1996","6","1996"
"Money, macroeconomics, and economic policy: essays in honor of James Tobin","WCBWD Nordhaus, HW Watts, J Tobin","MIT Press, 1991","6","1991"
"The effectiveness of macropolicies in small open-economy dynamic aggregative models","ES Phelps","Money, Macroeconomics, and Economic Policy: Essays in Honor of James Tobin, 125, 1991","6","1991"
"Mikroökonómia","PA Samuelson, WD Nordhaus, A János","","6","1990"
"D.,—Comment: Investment, Market Power and Productivity Growth “","W Nordhaus","Growth/Productivity/Unemployment, the MIT Press, Cambridge, Massachusetts …, 1990","6","1990"
"¿ Está anticuado el crecimiento?","W Nordhaus, J Tobin","Revista española de economía 6 (1), 349-375, 1976","6","1976"
"Is growth obsolete? The measurement of economic and social performance, ed. M. Moss","WD Nordhaus, J Tobin","New York: National Bureau of Economic Research, 1973","6","1973"
"J, Tobin.“Is Growth Obsolete?”","W Nordhaus","Economic Growth, 1972","6","1972"
"Is growth obsolete?","WD Nordhaus, J Tobin","Green Accounting, 49-72, 2018","5","2018"
"Uncertainty in forecasts of long-run productivity growth","P Christensen, K Gillingham, W Nordhaus","","5","2016"
"Effects of US tax policy on greenhouse gas emissions","WD Nordhaus, SA Merrill, PT Beaton","National Academies Press, 2013","5","2013"
"In the Climate Casino: An Exchange Reply","W Nordhaus","NEW YORK REVIEW OF BOOKS 59 (7), 56-57, 2012","5","2012"
"A new architecture for the US national accounts: A reply to André Vanoli","D Jorgenson, S Landefeld, W Nordhaus","Review of Income and Wealth 56 (4), 752-761, 2010","5","2010"
"Economía 19ed con aplicaciones a Latinoamérica, Impacto del Empleo","P Samuelson","Mexico, Distrito Federal: McGRAW-WILL INTERAMERICANA, 2010","5","2010"
"<U+8428><U+7F2A><U+5C14><U+68EE>« <U+5B8F><U+89C2><U+7ECF><U+6D4E><U+5B66>» <U+5B66><U+4E60><U+6307><U+5357>: Study guide for use with macroeconomics","PA Samuelson, WD Nordhaus","<U+4EBA><U+6C11><U+90AE><U+7535><U+51FA><U+7248><U+793E>, 2010","5","2010"
"Environmental accounting for pollution: Methods with an application to the United States economy","N Muller, R Mendelsohn, W Nordhaus","Unpublished manuscript. Retrieved from http://nordhaus. econ. yale. edu …, 2009","5","2009"
"The Question of Global Warming","W Nordhaus","Freeman, 2008","5","2008"
"Manajemen Kinerja: Konsep, Design, dan Teknik Meningkatkan Daya Saing Perusahaan","D William","Jakarta: Erlangga, 2006","5","2006"
"Consecuencias económicas de la guerra contra Irak","WD Nordhaus","Política Exterior, 67-81, 2003","5","2003"
"Ilmu Mikro Ekonomi (Terjemahan)","PA Samuelson, DN William","Edisi, 2001","5","2001"
"From porcopolis to carbopolis: The evolution from pork bellies to emissions trading","WD Nordhaus","Emissions trading, 61-73, 2000","5","2000"
"Revised estimates of the impacts of climate change, p 18","WD Nordhaus","","5","1998"
"Micro-économie","WD Nordhaus, PA Samuelson, S Belloir, A D'Autume","Éditions d'Organisation, 1997","5","1997"
"economía. quinceava edición","P Samuelson, DN William","MC Graw–Hill, España, 1996","5","1996"
"Ekonomia, przeklad J","PA Samuelson, WD Nordhaus","Kochanowicz, I. Topinska, B. Zylicz, Z. Wolinska 2, 1996","5","1996"
"Notes on scenarios for uncertainty subgroup","WD Nordhaus","L etter to the participants of the Em F 14, 1995","5","1995"
"Los salarios y el mercado de trabajo","PA Samuelson, WD Nordhaus","Economía, 790-808, 1992","5","1992"
"Resources, Technology, and Development: Will the Table Be Bare When Poor Countries Get There?","WD Nordhaus","Indian Economic Review 21 (2), 81-94, 1986","5","1986"
"Probabilistic forecasts of fossil fuel consumption","W Nordhaus, G Yohe","Changing Climate, 1983","5","1983"
"Alternatives for Debt Management","WD Nordhaus, HC Wallich","Issues in Federal Debt Management, Proceedings of a Conference Sponsored by …, 1973","5","1973"
"Is Economic Growth Obsolete?","J Tobin, W Nordhaus","The Measurement of Economic and Social Performance, ed. Milton Moss …, 1973","5","1973"
"A theory of endogenous technological change","WD Nordhaus","Massachusetts Institute of Technology. Department of Economics, 1967","5","1967"
"Edward Kokkelenberg, eds. 1999","WD Nordhaus","Nature’s numbers, 0","5",""
"Climate clubs and carbon pricing","W Nordhaus","Global carbon pricing-The path to climate cooperation, 109-123, 2017","4","2017"
"Why Paris did not solve the climate dilemma","R Cooper, P Cramton, S Dion, O Edenhofer, C Gollier, É Laurent, ...","Global Carbon Pricing-The Path to Climate Cooperation, 2016","4","2016"
"La inflación argentina (2002-2013) I","A Piva","Instituto Argentino para el Desarrollo Económico, 2015","4","2015"
"Some Foundational and Transformative Grand Challenges for the Social and Behavioral Sciences: The Problem of Global Public Goods","WD Nordhaus","American Economic Association, Ten Years and Beyond: Economists Answer NSF's …, 2010","4","2010"
"Comment on Nordhaus: Carbon Tax Calculations","Y Bauman","The Economists' Voice 7 (4), 2010","4","2010"
"Economía 19Ed. con aplicaciones latinoamericana","P SAMUELSON","McGrawHill. Decimo novena edición. México, 2010","4","2010"
"The problem of excessive military spending in the United States","W Nordhaus","Prepared for the Annual Meetings of the American Economic Association …, 2005","4","2005"
"The profile of an election, 2004: Outcomes and fundamentals","W Nordhaus","The Economists' Voice 2 (2), 2005","4","2005"
"The outlook for energy three decades after the energy crisis","WD Nordhaus","International Energy Workshop, Paris, France, 2004","4","2004"
"Abrupt Climate Change: Inevitable Surprises. National Research Council","RB Alley, J Marotzke, W Nordhaus, J Overpeck, D Peteet, R Pielke Jr, ...","National Academy Press, Washington, DC.(http://www. nap. edu/books …, 2002","4","2002"
"Microeconomics, ISE Editions","PA Samuelson, WD Nordhaus","McGraw-Hill Education, 2001","4","2001"
"D., Kokkelenberg, E., C.(eds)(1999) Nature’s Numbers: Expanding the National Economic Accounts to Include the Environment","W Nordhaus, C Edward","National Academy Press. Washington DC. The chapter ‘Accounting for Subsoil …, 2000","4","2000"
"The impact of global warming on agriculture: A Ricardian Analysis: Reply","W Nordhaus, R Mendelsohn","American Economic Review 89 (4), 1053-1055, 1999","4","1999"
"“The Economics of Greenhouse Warming: What Are the Issues?","W Nordhaus","Proceedings of the International Workshop on Costs, Impacts, and Possible …, 1992","4","1992"
"The council of economic advisers: Conscience or advocate?","WD Nordhaus","Carnegie-Rochester Conference Series on Public Policy 25, 265-277, 1986","4","1986"
"The Structure of Social Risk","WD Nordhaus, SN Durlauf","Cowles Foundation Discussion Papers, 1982","4","1982"
"Industrial Pricing in the United Kingdom","Kenneth J.. Coutts, W Godley, WD Nordhaus","Cambridge University Press, 1978","4","1978"
"Economics (10ª edição)","PA SAMuELSoN, W NORDHAUS","MacGraw-Hill, 1976","4","1976"
"Is Growth Obsolete? William Nordhaus and James Tobin","WD Nordhaus","Economic Research: Retrospect and Prospect 5, 1972","4","1972"
"Economics. New York, 1973","PA Samuelson","Subsequent quotes, 547, 0","4",""
"VIIRS Nighttime Lights in the Estimation of Cross-Sectional and Time-Series GDP","X Chen, WD Nordhaus","Remote Sensing 11 (9), 1057, 2019","3","2019"
"Evolution of Assessments of the Economics of Global Warming: Changes in the DICE model, 1992–2017","WD Nordhaus","National Bureau of Economic Research, 2017","3","2017"
"The Climate Casino","W Nordaus","Yale University Press, 2013","3","2013"
"Measurement of Income with Time Use with Applications to Hedonic Indicators of Happiness and Misery","WD Nordhaus","Cowles Foundation Discussion Paper, 2009","3","2009"
"Comment on La Porta and Shleifer “The Unofficial Economy and Economic Development.”","CI Jones, W Nordhaus","Brookings Papers on Economic Activity 2, 353-363, 2008","3","2008"
"2003: Abrupt climate change. Science 299","RB Alley, J Marotzke, WD Nordhaus, JT Overpeck, DM Peteet, RA Pielke, ...","","3","2005"
"La elasticidad precio del café mexicano: Un modelo para una canasta de bienes, 1976-2000","MÁM Damián, ES Callejas","Análisis Económico 19 (42), 299-318, 2004","3","2004"
"War with Iraq","C Kaysen, S Miller, MB Malin, WD Nordhaus, JD Steinbruner","Costs, Consequences, and Alternatives, Cambridge MA: Amarican Academy of …, 2002","3","2002"
"Technological change and the environment","WD Nordhaus, A Grübler","Resources for the Future, 2002","3","2002"
"Remedies Brief of Amici Curiae","RE Litan, RG Noll, WD Nordhaus, FM Scherer","Available at SSRN 241448, 2000","3","2000"
"The Allocation of Energy Resources'","WD Nordhaus","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 119, 455-502, 2000","3","2000"
"Samuelson's"" Economics"" at Fifty: Remarks on the Occasion of the Anniversary of Publication","WD Nordhaus","The Journal of Economic Education 30 (4), 356, 1999","3","1999"
"cowLEs FoUNDATIoNFoRREsEARCH IN ECoNoMcs","WD Nordhaus","","3","1998"
"Economics 6th Edn New York","PA Samuelson, WD Nordhaus","NY: McGraw-Hill Companies, 1998","3","1998"
"Comments of William Nordhaus on notice of proposed rulemaking on federal motor vehicle safety standards: Occupant crash protection","WD Nordhaus","","3","1991"
"Risk Analysis in Economics: An Application to University Finances","WD Nordhaus","RISK ANALYSIS, 1989","3","1989"
"THE GLOBAL COMMONS I: COSTS AND CLIMA TIC EFFECTS","W Nordhaus","American Economic Review, Papers and Proceedings 72, 242-246, 1989","3","1989"
"Reaganomics and Economic Growth: A Summing Up","WD Nordhaus","Cowles Foundation for Research in Economics at Yale University, 1985","3","1985"
"How Should We Revise Our Beliefs About Nuclear Power Safety After Three Mile Island?","WD Nordhaus","Cowles Foundation Discussion Papers, 1979","3","1979"
"<U+30B5> <U+30E0><U+30A8> <U+30EB> <U+30BD> <U+30F3><U+7D4C> <U+6E08> <U+5B66> (<U+4E0B>), <U+5CA9> <U+6CE2> <U+66F8> <U+5E97>","PA Samuelson, <U+90FD><U+7559>, <U+91CD><U+4EBA>","","3","1967"
"Wallace, JM 2003. Abrupt Climate Change","RB Alley, J Marotzke, WD Nordhaus, JT Overpeck, DM Peteet, RA Pielke, ...","Science 20, 2005-2010, 0","3",""
"Economics of the disintegration of the Greenland ice sheet","W Nordhaus","Proceedings of the National Academy of Sciences 116 (25), 12261-12269, 2019","2","2019"
"Global Melting? The Economics of Disintegration of the Greenland Ice Sheet","WD Nordhaus","National Bureau of Economic Research, 2018","2","2018"
"In the climate casino: an exchange","R Cohen, W Lindzen, R Nordhaus, W Nordhaus","NEW YORK REVIEW OF BOOKS 59 (7), 55-56, 2012","2","2012"
"Estimates of the social cost of carbon","WD Nordhaus","National Bureau of Economic Research, 2011","2","2011"
"Comment on Nordhaus: Tax Carbon, Not Fossil Fuels","RA Sedjo","The Economists' Voice 7 (4), 2010","2","2010"
"Climate change policies after 2012","X Labandeira, JM Martin-Moreno","The Energy Journal, 1-5, 2009","2","2009"
"Major Issues in the Economic Modeling of Global Warming","WD Nordhaus","Presentation at the Workshop on Assessing Economic Impacts of Greenhouse Gas …, 2008","2","2008"
"Impact on Economic Growth of Differential Population Growth in an Economy with High Inequality","W Nordhaus","South African Journal of Economics 76 (2), 314-315, 2008","2","2008"
